1.0,3.0,6.0,6.0,58.0,59.0
1.0,5.0,24.0,25.0,45.0,60.0
1.0,5.0,30.0,7.0,45.0,16.0
1.0,7.0,23.0,21.0,53.0,19.0
1.0,8.0,15.0,40.0,46.0,20.0
1.0,10.0,2.0,11.0,21.0,47.0
1.0,10.0,25.0,2.0,6.0,46.0
1.0,11.0,7.0,25.0,26.0,11.0
1.0,11.0,28.0,34.0,55.0,16.0
1.0,12.0,6.0,52.0,1.0,11.0
1.0,15.0,3.0,8.0,35.0,36.0
1.0,16.0,16.0,4.0,21.0,15.0
1.0,19.0,5.0,37.0,20.0,53.0
1.0,21.0,10.0,56.0,5.0,10.0
1.0,24.0,13.0,14.0,56.0,9.0
1.0,24.0,20.0,36.0,51.0,34.0
1.0,25.0,2.0,14.0,6.0,13.0
1.0,30.0,26.0,46.0,53.0,37.0
1.0,33.0,25.0,7.0,60.0,9.0
1.0,34.0,17.0,1.0,27.0,47.0
1.0,36.0,26.0,1.0,34.0,41.0
1.0,38.0,7.0,46.0,7.0,44.0
1.0,41.0,11.0,35.0,14.0,44.0
1.0,41.0,22.0,55.0,56.0,55.0
1.0,44.0,1.0,24.0,13.0,4.0
1.0,44.0,29.0,12.0,39.0,36.0
1.0,47.0,17.0,37.0,44.0,35.0
1.0,48.0,20.0,12.0,27.0,10.0
1.0,49.0,15.0,5.0,48.0,33.0
1.0,50.0,5.0,58.0,53.0,33.0
1.0,50.0,29.0,9.0,48.0,26.0
1.0,55.0,6.0,22.0,11.0,34.0
1.0,56.0,28.0,27.0,2.0,1.0
1.0,59.0,1.0,47.0,54.0,7.0
1.0,60.0,3.0,32.0,43.0,54.0
1.0,60.0,30.0,26.0,30.0,55.0
1.0,65.0,1.0,24.0,45.0,42.0
1.0,68.0,9.0,60.0,38.0,57.0
1.0,69.0,9.0,29.0,35.0,50.0
1.0,72.0,8.0,43.0,2.0,42.0
1.0,73.0,29.0,41.0,17.0,54.0
1.0,78.0,1.0,21.0,53.0,49.0
1.0,79.0,6.0,20.0,2.0,25.0
1.0,80.0,4.0,8.0,5.0,34.0
1.0,80.0,6.0,29.0,47.0,13.0
1.0,88.0,3.0,26.0,55.0,15.0
1.0,88.0,16.0,43.0,22.0,37.0
1.0,89.0,6.0,59.0,47.0,31.0
1.0,89.0,7.0,8.0,14.0,15.0
1.0,89.0,9.0,44.0,6.0,12.0
1.0,90.0,29.0,9.0,38.0,17.0
1.0,92.0,22.0,46.0,12.0,18.0
1.0,96.0,11.0,50.0,28.0,14.0
1.0,97.0,28.0,57.0,22.0,37.0
1.0,111.0,13.0,45.0,19.0,18.0
1.0,114.0,25.0,30.0,41.0,55.0
1.0,116.0,19.0,21.0,21.0,18.0
1.0,116.0,24.0,11.0,43.0,39.0
1.0,122.0,14.0,17.0,36.0,39.0
1.0,125.0,13.0,41.0,32.0,59.0
1.0,125.0,20.0,34.0,23.0,10.0
1.0,133.0,6.0,46.0,5.0,14.0
1.0,141.0,18.0,49.0,24.0,33.0
1.0,146.0,26.0,12.0,50.0,33.0
1.0,152.0,22.0,32.0,28.0,56.0
1.0,155.0,19.0,46.0,4.0,2.0
1.0,158.0,10.0,5.0,18.0,30.0
1.0,159.0,8.0,16.0,32.0,11.0
1.0,159.0,16.0,53.0,26.0,35.0
1.0,163.0,19.0,15.0,49.0,49.0
1.0,172.0,10.0,15.0,55.0,8.0
1.0,174.0,17.0,17.0,56.0,18.0
1.0,176.0,30.0,44.0,43.0,20.0
1.0,178.0,22.0,3.0,60.0,6.0
1.0,180.0,11.0,32.0,10.0,1.0
1.0,181.0,4.0,45.0,2.0,23.0
1.0,182.0,21.0,35.0,49.0,30.0
1.0,184.0,3.0,20.0,9.0,25.0
1.0,186.0,25.0,17.0,18.0,39.0
1.0,190.0,19.0,50.0,6.0,59.0
1.0,198.0,27.0,29.0,14.0,26.0
1.0,201.0,1.0,13.0,13.0,37.0
1.0,201.0,25.0,56.0,14.0,16.0
1.0,205.0,26.0,19.0,41.0,60.0
1.0,210.0,2.0,37.0,49.0,24.0
1.0,210.0,4.0,53.0,2.0,30.0
1.0,210.0,6.0,20.0,24.0,1.0
1.0,214.0,23.0,54.0,43.0,18.0
1.0,219.0,19.0,51.0,57.0,57.0
1.0,222.0,10.0,6.0,50.0,15.0
1.0,232.0,1.0,49.0,38.0,58.0
1.0,235.0,22.0,7.0,35.0,27.0
1.0,239.0,21.0,22.0,13.0,11.0
1.0,241.0,11.0,5.0,27.0,15.0
1.0,245.0,11.0,47.0,29.0,29.0
1.0,245.0,12.0,45.0,36.0,60.0
1.0,245.0,19.0,57.0,46.0,49.0
1.0,247.0,1.0,58.0,12.0,44.0
1.0,252.0,20.0,8.0,1.0,36.0
1.0,254.0,2.0,45.0,35.0,34.0
1.0,254.0,26.0,38.0,37.0,54.0
1.0,255.0,3.0,46.0,32.0,29.0
1.0,256.0,18.0,38.0,6.0,48.0
1.0,257.0,21.0,48.0,23.0,5.0
1.0,257.0,30.0,35.0,17.0,5.0
1.0,258.0,2.0,56.0,49.0,30.0
1.0,261.0,9.0,28.0,35.0,2.0
1.0,262.0,15.0,8.0,51.0,22.0
1.0,263.0,13.0,41.0,47.0,37.0
1.0,263.0,14.0,58.0,52.0,23.0
1.0,265.0,11.0,3.0,58.0,33.0
1.0,266.0,17.0,39.0,52.0,36.0
1.0,271.0,18.0,54.0,47.0,46.0
1.0,273.0,25.0,29.0,12.0,29.0
1.0,274.0,8.0,44.0,28.0,12.0
1.0,277.0,9.0,58.0,2.0,4.0
1.0,277.0,25.0,45.0,27.0,48.0
